SR,早口言葉もまかせて！,スコア,リズムアイコン,15,20,2,34,0,390,20,530,4930,3120,4220,スマイルハート,empty,0
UR,にこちゃんと遊ぼう！,判定,タイマー,25,71,2,85,7,0,0,210,4570,4030,5320,クールエンプレス,μ'ｓ,0
SR,あなたのことだけ,判定,タイマー,10,45,2,60,2,0,0,55,4960,4270,3110,スマイルハート,empty,0
SR,幸せのきびだんご,スコア,パーフェクト,14,48,2,63,0,170,15,300,3540,4700,3930,ピュアハート,empty,0
SR,海って最高！,スコア,コンボ,31,39,2,54,0,500,45,850,4260,4950,3100,ピュアハート,empty,0
SR,授業なんて楽勝だっ,スコア,リズムアイコン,30,44,2,58,0,350,35,595,4050,3330,4920,クールハート,empty,0
SR,忍者の道は険しい……,回復,タイマー,15,32,3,53,0,4,0,6,4990,3100,4290,スマイルハート,empty,0
UR,白黒ワンちゃん,スコア,パーフェクト,23,29,5,64,0,745,315,2950,5320,4490,4070,スマイルプリンセス,Printemps,0
SR,たまには洋菓子も,判定,リズムアイコン,23,36,3,57,3.5,0,0,7,4080,3300,4960,クールハート,empty,0
SR,血を吸っちゃうぞ,判定,リズムアイコン,26,41,3,63,3,0,0,65,3470,3890,4820,クールハート,empty,0
SR,大切なプレゼント,スコア,パーフェクト,20,32,2,46,0,410,40,690,4890,4290,3100,スマイルハート,empty,0
SR,サーカスのステージ,判定,リズムアイコン,27,34,3,57,4.5,0,0,85,4320,4960,3070,ピュアハート,empty,0
SR,妖精さんの願い事,回復,リズムアイコン,20,20,2,36,0,4,0,6,4050,3340,4990,クールハート,empty,0
UR,大正スクールアイドル,スコア,コンボ,24,37,3,58,0,635,380,3295,4580,5310,4000,ピュアプリンセス,Printemps,0
SR,お酢パワー！？,スコア,コンボ,19,33,2,47,0,365,30,590,4900,3080,4310,スマイルハート,empty,0
SR,みんなでがんばった！,回復,リズムアイコン,24,24,2,38,0,4,0,6,3970,4970,3440,ピュアハート,empty,0
SR,イチゴショートケーキ,スコア,パーフェクト,24,36,2,50,0,390,30,600,4690,3240,4230,スマイルハート,empty,0
UR,成長できたかな？,回復,リズムアイコン,28,28,7,77,0,6,0,9,4540,4090,5320,クールプリンセス,Printemps,0
SR,小悪魔を目指して,判定,リズムアイコン,17,30,2,44,3,0,0,65,4950,3170,4230,スマイルハート,empty,0
SSR,伸びたラーメン,スコア,リズムアイコン,24,31,3,52,0,435,135,1380,5110,3470,4290,スマイルスター,2年生,0
UR,２人でプール掃除,スコア,リズムアイコン,21,31,4,59,0,620,330,2930,5330,4110,4470,スマイルプリンセス,2年生,0
SR,ほんの少しの違い,スコア,コンボ,23,33,3,54,0,410,25,585,4760,3830,3570,スマイルハート,empty,0
SSR,サプライズプレゼント,スコア,コンボ,21,32,4,60,0,560,115,1365,3510,4250,5100,クールスター,2年生,0
SR,サプライズで☆,判定,リズムアイコン,25,31,3,52,4,0,0,75,3970,4810,3380,ピュアハート,empty,0
SR,ブタのぬいぐるみ,判定,リズムアイコン,20,37,2,51,3,0,0,65,4240,3160,4970,クールハート,empty,0
SR,今年最後のいちご大福,スコア,リズムアイコン,24,30,3,51,0,430,30,640,4310,4930,3070,ピュアハート,empty,0
SR,エッグハント,スコア,リズムアイコン,22,32,2,46,0,340,30,550,3580,3810,4770,クールハート,empty,0
SSR,μ'sテニス大会,回復,リズムアイコン,25,29,4,57,0,4,0,7,4360,5170,3420,ピュアスター,Printemps,0
UR,穂乃果のオススメ！,回復,リズムアイコン,21,24,5,59,0,5,0,8,4660,5370,3920,ピュアプリンセス,Printemps,0
SR,海賊団の冒険譚,スコア,コンボ,22,28,3,49,0,500,30,710,4180,3180,4930,クールハート,empty,0
SR,海だ～～～！,判定,リズムアイコン,28,40,3,61,3.5,0,0,75,4820,3320,4040,スマイルハート,empty,0
SR,新しい衣装は,回復,リズムアイコン,29,31,3,52,0,4,0,6,4980,4210,3190,スマイルハート,empty,0
SR,ティンパニ担当☆,回復,リズムアイコン,24,51,2,65,0,2,0,4,4220,4980,3180,ピュアハート,empty,0
SR,ここ掘れ、わんわん♪,パーフェクト,パーフェクト,26,25,3,46,2.5,130,15,235,3620,3880,4660,クールハート,empty,0
UR,スクユニ・高坂穂乃果,発動率,リズムアイコン,33,19,3,40,3,12,27,65,5350,4500,4100,スマイルプリンセス,μ'ｓ,0
